gene_name,utr5_cpm,utr5_ai_rate,utr5_m6a_rate,utr5_unmod_rate,utr3_cpm,utr3_ai_rate,utr3_m6a_rate,utr3_unmod_rate,exon_cpm,exon_ai_rate,exon_m6a_rate,exon_unmod_rate,intron_cpm,intron_ai_rate,intron_m6a_rate,intron_unmod_rate,utr5_either_rate,utr3_either_rate,exon_either_rate,intron_either_rate,total_ai_rate,total_m6a_rate,total_either_rate,total_cpm
KAT6A,31.158932999999994,0.067783,0.260735,0.680165,551.6676306666666,0.079367,0.227883,0.692969,127.03943366666665,0.060628,0.225993,0.715507,1.2572993333333333,0.057505,0.204208,0.740009,0.328518,0.30725,0.286621,0.261713,0.06632075000000001,0.22970475,0.2960255,177.78082416666666
BPTF,159.15915933333332,0.076946,0.18949,0.733896,534.4497603333333,0.052001,0.194144,0.756191,41.93560166666666,0.062622,0.167503,0.773203,5.682610333333333,0.077131,0.190043,0.735622,0.266436,0.246145,0.23012500000000002,0.267174,0.067175,0.185295,0.25246999999999997,185.30678291666666
STXBP3,0.0,0.0,0.0,0.0,571.3333333333334,0.049803,0.148156,0.804871,30.394373666666667,0.06915,0.074854,0.859203,0.9106943333333334,0.039374,0.284926,0.676454,0.0,0.197959,0.14400400000000002,0.32430000000000003,0.03958175,0.126984,0.16656575,200.87946711111113
ARPC1A,0.0,0.0,0.0,0.0,286.2862863333333,0.078576,0.182501,0.740781,8.086253666666666,0.060619,0.134259,0.805122,5.371492333333333,0.087369,0.203006,0.714325,0.0,0.261077,0.194878,0.290375,0.056641,0.1299415,0.18658249999999998,99.91467744444442
PICALM,704.4159546666666,0.048439,0.091661,0.861761,399.64349366666664,0.061305,0.205127,0.733974,75.138679,0.096415,0.065777,0.839564,6.35809,0.079194,0.277885,0.642959,0.1401,0.266432,0.162192,0.357079,0.07133825,0.1601125,0.23145074999999998,296.38905433333326
ERLEC1,0.0,0.0,0.0,0.0,284.77785866666665,0.068374,0.147612,0.789592,45.148895333333336,0.056165,0.101138,0.843131,3.6655956666666665,0.062281,0.189069,0.750724,0.0,0.215986,0.157303,0.25134999999999996,0.046705,0.10945474999999999,0.15615974999999999,111.19744988888887
GBF1,23.165446333333332,0.091499,0.190071,0.721934,0.0,0.0,0.0,0.0,22.540562999999995,0.039365,0.114954,0.845966,0.5967399999999999,0.11748,0.179811,0.714136,0.28157,0.0,0.15431899999999998,0.29729099999999997,0.062085999999999995,0.121209,0.18329499999999999,15.434249777777774
OGT,4.2231890000000005,0.057528,0.235559,0.712792,2825.120415,0.071903,0.224702,0.706945,103.82723166666666,0.116817,0.115781,0.772245,7.238703000000001,0.083363,0.226471,0.693808,0.293087,0.296605,0.232598,0.309834,0.08240275,0.20062825,0.283031,735.1023846666666
AEBP2,272.823779,0.112612,0.251687,0.637646,785.644769,0.062039,0.233639,0.708239,171.62133666666668,0.120139,0.190485,0.694367,7.394422333333334,0.070356,0.26757,0.666044,0.364299,0.295678,0.310624,0.33792599999999995,0.09128649999999999,0.23584525,0.32713175,309.37107675
SETD2,14.000518333333334,0.057894,0.211637,0.737148,297.9283506666667,0.068265,0.154815,0.778668,72.64457466666667,0.056924,0.180733,0.764623,2.143223,0.093828,0.254379,0.654522,0.26953099999999997,0.22308,0.237657,0.34820700000000004,0.06922775,0.200391,0.26961875,96.67916666666666
ZNF91,0.0,0.0,0.0,0.0,39.597001,0.054171,0.166166,0.780063,1.957494,0.049665,0.056362,0.893973,2.9622370000000005,0.086846,0.231134,0.68202,0.0,0.220337,0.10602700000000001,0.31798000000000004,0.047670500000000005,0.1134155,0.161086,14.838910666666665
DNMT1,0.0,0.0,0.0,0.0,2125.6490136666666,0.094082,0.142136,0.767379,56.438468,0.062049,0.065151,0.873505,0.6912193333333333,0.060831,0.062333,0.878773,0.0,0.236218,0.1272,0.123164,0.0542405,0.06740499999999999,0.1216455,727.5929003333332
ADGRG3,1.250782,0.119141,0.269531,0.611328,255.570871,0.082063,0.255067,0.666756,13.699849,0.183163,0.090934,0.729403,0.4106236666666667,0.073073,0.197396,0.729531,0.388672,0.33713,0.274097,0.27046899999999996,0.11436,0.203232,0.317592,67.73303141666668
USO1,20.1342285,0.063477,0.116862,0.819661,866.5325286666666,0.056426,0.108757,0.836956,32.51197833333334,0.077371,0.058895,0.864117,0.4206245,0.034939,0.175022,0.790039,0.180339,0.165183,0.136266,0.209961,0.05805325,0.11488400000000001,0.17293725,229.89983999999998
RTF1,0.0,0.0,0.0,0.0,587.1580899999999,0.056683,0.24499,0.701348,16.643226,0.045775,0.030645,0.925616,0.065105,0.130371,0.072754,0.796875,0.0,0.301673,0.07642,0.203125,0.058207249999999995,0.08709725,0.1453045,201.288807
SNF8,9.060955499999999,0.015625,0.117898,0.866477,435.2059923333333,0.089942,0.238343,0.676463,78.05570333333334,0.123544,0.136053,0.74668,9.698957333333334,0.075401,0.236555,0.693452,0.133523,0.328285,0.259597,0.311956,0.076128,0.18221225,0.25834025000000005,133.005402125
CCRL2,0.0,0.0,0.0,0.0,31.372549333333335,0.076294,0.24292,0.689484,69.09430466666667,0.099416,0.287866,0.620056,0.0,0.0,0.0,0.0,0.0,0.319214,0.387282,0.0,0.0439275,0.1326965,0.176624,50.233427000000006
KDM4C,73.74631266666667,0.050864,0.17807,0.773539,133.87730433333334,0.091127,0.150536,0.759598,39.81697833333333,0.081659,0.076664,0.842957,1.9627753333333333,0.072641,0.216594,0.71491,0.228934,0.24166300000000002,0.158323,0.289235,0.07407275,0.155466,0.22953875,62.35084266666667
TNPO1,0.0,0.0,0.0,0.0,132.29303066666665,0.054068,0.231662,0.717639,1.471129,0.021484,0.09082,0.887695,133.04278200000002,0.044292,0.112856,0.843803,0.0,0.28573,0.112304,0.157148,0.029960999999999998,0.1088345,0.13879550000000002,88.93564722222222
FBXO11,13.918477666666666,0.095145,0.04831,0.856545,1644.126226666667,0.076455,0.178803,0.747814,305.8103976666667,0.072305,0.161529,0.769445,3.2706793333333337,0.10473,0.167559,0.730791,0.143455,0.255258,0.233834,0.272289,0.08715875,0.13905025,0.226209,491.7814453333334
NPEPPS,0.0,0.0,0.0,0.0,800.6391346666666,0.074667,0.228842,0.699932,33.721066666666665,0.084672,0.080902,0.834699,0.9114286666666667,0.047454,0.156577,0.796073,0.0,0.303509,0.165574,0.204031,0.05169825,0.11658025,0.1682785,278.4238766666666
SLFN12L,24.649222333333338,0.066226,0.045312,0.890986,0.0,0.0,0.0,0.0,27.123483000000004,0.093904,0.230263,0.683337,9.960247666666666,0.097856,0.264216,0.639038,0.111538,0.0,0.324167,0.362072,0.0644965,0.13494775,0.19944425,20.577651000000003
PBRM1,66.61891133333334,0.059602,0.115227,0.825171,371.83641966666664,0.058676,0.234079,0.708624,193.67514100000002,0.069613,0.156621,0.775999,3.075563333333333,0.079981,0.176422,0.746868,0.174829,0.292755,0.226234,0.256403,0.066968,0.17058725,0.23755525,158.80150883333334
KDM4A,72.179785,0.067383,0.17287,0.763989,27.986127999999997,0.064661,0.280518,0.662036,15.91977,0.094369,0.083201,0.826077,0.9224376666666667,0.083724,0.217359,0.704424,0.240253,0.345179,0.17757,0.301083,0.07753425,0.188487,0.26602125,29.252030166666664
OSBP,109.09090900000001,0.032227,0.294108,0.673665,884.4169246666667,0.088691,0.236408,0.676767,53.080308333333335,0.094458,0.23478,0.679212,0.20910600000000001,0.123132,0.272249,0.605808,0.326335,0.325099,0.329238,0.39538100000000004,0.08462700000000001,0.25938625,0.34401325,261.699312
ARID2,0.0,0.0,0.0,0.0,543.721973,0.065299,0.251953,0.68422,22.13352666666667,0.04663,0.108575,0.845618,0.18067466666666665,0.054178,0.20563,0.742739,0.0,0.317252,0.155205,0.259808,0.04152675,0.14153949999999998,0.18306624999999999,188.67872477777777
PUM1,0.0,0.0,0.0,0.0,1835.719154666667,0.052295,0.238958,0.709414,14.110830666666665,0.033966,0.206798,0.760141,3.068572,0.055659,0.231882,0.712459,0.0,0.291253,0.240764,0.287541,0.03548,0.16940950000000002,0.2048895,617.6328524444446
COPE,198.84092733333333,0.060655,0.156963,0.785415,212.07992766666666,0.093984,0.080415,0.826996,311.05824666666666,0.079637,0.092678,0.829738,12.713548000000001,0.135272,0.22267,0.645949,0.21761799999999998,0.174399,0.172315,0.357942,0.092387,0.13818149999999998,0.23056849999999998,183.67316241666663
RAB1A,62.869336999999994,0.054949,0.224696,0.722456,631.9473036666667,0.061739,0.182703,0.757087,281.581374,0.055377,0.233283,0.714989,8.698798333333334,0.078655,0.241786,0.682989,0.27964500000000003,0.244442,0.28865999999999997,0.320441,0.06268,0.220617,0.28329699999999997,246.27420325
CD6,3280.443591333333,0.101908,0.229559,0.672442,0.0,0.0,0.0,0.0,209.26756333333333,0.118214,0.102263,0.782189,9.875464333333335,0.157803,0.229345,0.618259,0.331467,0.0,0.220477,0.387148,0.09448124999999999,0.14029175,0.234773,1166.528873
TRMT61B,8.403361,0.0,0.009766,0.990234,222.222222,0.058274,0.127993,0.814119,133.55780033333335,0.066086,0.104812,0.831063,2.452407333333333,0.035887,0.212549,0.753325,0.009766,0.186267,0.170898,0.248436,0.04006175,0.11377999999999999,0.15384175,91.65894766666666
MYB,343.183403,0.068306,0.191545,0.743039,0.0,0.0,0.0,0.0,47.53572466666666,0.09949,0.080941,0.819606,1.5230633333333332,0.060219,0.05527,0.886209,0.259851,0.0,0.180431,0.11548900000000001,0.05700375,0.081939,0.13894275,130.747397
BORCS8,42.55319166666666,0.098276,0.081101,0.822235,133.08341133333334,0.105166,0.121601,0.775653,187.356322,0.104414,0.14327,0.754754,1.7361433333333334,0.069779,0.149941,0.781657,0.179377,0.226767,0.24768400000000002,0.21971999999999997,0.09440875,0.12397825,0.218387,91.18226708333334
PPP1R12A,0.0,0.0,0.0,0.0,845.1676526666666,0.084203,0.229168,0.687514,8.729388666666667,0.062548,0.15977,0.777681,1.280534,0.040134,0.227312,0.732882,0.0,0.313371,0.22231800000000002,0.26744599999999996,0.046721250000000006,0.1540625,0.20078375,285.05919177777776
RAB6B,27.434285999999997,0.062442,0.176243,0.764634,100.66900266666669,0.061729,0.233848,0.709248,104.47761200000001,0.054992,0.117094,0.828125,1.8634240000000002,0.045126,0.205052,0.751098,0.238685,0.295577,0.17208600000000002,0.250178,0.056072250000000004,0.18305925,0.2391315,58.61108116666668
ARPC3,12.618297,0.078125,0.014648,0.907227,365.9090906666667,0.074643,0.211726,0.720331,60.281453666666664,0.069006,0.180736,0.753702,143.50123833333333,0.066381,0.257073,0.681368,0.092773,0.286369,0.24974200000000002,0.323454,0.07203875000000001,0.16604575,0.2380845,145.5775199166667
SEC31A,24.642289333333334,0.116515,0.209845,0.686534,800.4084966666666,0.058472,0.145588,0.797991,79.92959566666667,0.053703,0.137409,0.809803,6.820274666666667,0.056875,0.206506,0.738134,0.32636,0.20406,0.191112,0.263381,0.07139125,0.174837,0.24622825,227.9501640833333
ZNF891,0.0,0.0,0.0,0.0,182.56227766666666,0.051322,0.241507,0.709123,124.218052,0.058456,0.228667,0.716158,1.6853069999999999,0.053575,0.244058,0.704072,0.0,0.292829,0.287123,0.297633,0.04083825,0.178558,0.21939625000000001,102.82187888888889
ACTR10,0.0,0.0,0.0,0.0,229.704797,0.054787,0.11063,0.836199,149.654439,0.057289,0.077688,0.865446,5.088674,0.046163,0.220034,0.73709,0.0,0.165417,0.13497699999999999,0.266197,0.039559750000000005,0.102088,0.14164775000000002,128.14930333333334
